name,latitude,longitude,radius
Pittsburgh Mills Mall,40.573381,-79.7965339999999,6371
Waterworks Mall,40.523772,-80.006568,6371
Ross Park Mall,40.541143,-80.006507,6371
Miracle Mile Shopping Center,40.438773,-79.767056,6371
Station Square,40.431126,-80.001589,6371
Mall At Robinson,40.449895,-80.163101,6371
South Park Shops,40.332589,-80.021052,6371
E N Miller Antique Mall,40.504245,-79.844416,6371
Ashley Mall,40.345613,-80.048084,6371
Waterfront Shopping Mall,40.408082,-79.917094,6371
Galleria,40.35592,-80.050403,6371
Heidelberg Antique Mall,40.389383,-80.094291,6371
Monroeville Mall,40.431401,-79.795716,6371
Crafters Showcase Craft Mall,40.3298,-79.9452419999999,6371
South Hills Village,40.344546,-80.058279,6371
Shopping Center Management,40.429334,-79.793677,6371
